,Date,Net Sales,Orders,Guests
469,2024-04-14,666.09,18,18
470,2024-04-15,0.0,0,0
471,2024-04-16,365.83,10,10
472,2024-04-17,523.17,22,22
473,2024-04-18,313.77,12,12
474,2024-04-19,1307.63,37,37
475,2024-04-20,1212.92,32,32
476,2024-04-21,944.77,26,26
477,2024-04-22,0.0,0,0
478,2024-04-23,421.78,13,13
479,2024-04-24,295.35,9,9
480,2024-04-25,442.26,15,15
481,2024-04-26,850.52,23,23
482,2024-04-27,670.04,17,17
483,2024-04-28,845.43,24,24
484,2024-04-29,0.0,0,0
485,2024-04-30,294.81,10,10
486,2024-05-01,953.47,22,22
487,2024-05-02,267.33,11,11
488,2024-05-03,892.81,25,25
489,2024-05-04,944.35,24,24
490,2024-05-05,657.85,21,21
491,2024-05-06,0.0,0,0
492,2024-05-07,349.26,13,13
493,2024-05-08,476.31,13,13
494,2024-05-09,530.77,16,16
495,2024-05-10,859.5,26,26
496,2024-05-11,691.08,24,24
497,2024-05-12,1174.74,34,34
498,2024-05-13,0.0,0,0
499,2024-05-14,251.81,9,9
500,2024-05-15,540.63,17,17
501,2024-05-16,346.28,12,12
502,2024-05-17,772.93,29,29
503,2024-05-18,1031.55,25,25
504,2024-05-19,791.46,23,23
505,2024-05-20,0.0,0,0
506,2024-05-21,125.91,5,5
507,2024-05-22,442.72,14,14
508,2024-05-23,504.6,17,17
509,2024-05-24,1001.34,26,26
510,2024-05-25,677.5,22,22
511,2024-05-26,612.08,19,19
512,2024-05-27,0.0,0,0
513,2024-05-28,992.69,21,21
514,2024-05-29,330.28,10,10
515,2024-05-30,515.71,14,14
516,2024-05-31,1423.93,32,32
517,2024-06-01,1469.61,34,34
518,2024-06-02,606.16,17,17
519,2024-06-03,0.0,0,0
520,2024-06-04,558.82,21,21
521,2024-06-05,301.32,9,9
522,2024-06-06,674.93,15,15
523,2024-06-07,931.22,23,23
524,2024-06-08,1071.8,32,32
525,2024-06-09,1032.92,25,25
526,2024-06-10,0.0,0,0
